nct,titulo,sponsor,estado_ct,fase,tipo_estudio,fecha_inicio,fecha_fin
NCT00935467,Pharmacokinetics and Pharmacodynamics Study of Saxagliptin in Healthy Subjects,AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2009-07,2009-08
NCT00410592,"Evaluation of 24-Hour Intragastric pH Using Esomeprazole, Lansoprazole, and Pantoprazole in Hispanic Patients With GERD",AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2006-10,2007-05
NCT00358436,Efficacy and Safety of LAS 34273 in Patients With Moderate to Severe Stable Chronic Obstructive Pulmonary Disease(COPD),AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2006-08,2008-06
NCT01864005,A Phase IV Study of the Onset and Maintenance of the Antiplatelet Effect of Ticagrelor Compared With Clopidogrel in Chinese Patients With ACS,AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2013-05,2014-03
NCT01895946,"Comparison of Two Formulations of AZD5363 and the Effect of Food on Pharmacokinetic Exposure, Safety and Tolerability",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2013-12,2015-07
NCT00372788,"AZD6244 Versus Pemetrexed (Alimta®) in Patients With Non-small Cell Lung Cancer, Who Have Failed One or Two Prior Chemotherapy Regimen",AstraZeneca,COMPLETED,PHASE2,INTERVENTIONAL,2006-08,2008-12
NCT01455194,Effect of High Dose Ciclesonide on Asthma Control,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2011-11,2014-08
NCT00628667,Chronic Posterior Laryngitis With Suspected Laryngopharyngeal Reflux,AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2002-02,2003-03
NCT00259051,A Study to Investigate the Pharmacodynamic Effect After Four-week Omeprazole Treatment of Non-erosive Reflux Disease in a Japanese Population,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2004-01,2004-08
NCT01275794,Screening Epidemiological Program on Compensation Evaluation of Diabetes Mellitus Type 2 (DMT2) Patients on Oral Anti-diabetic (OAD) Monotherapy and Physicians Satisfaction of Their Usage,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2010-12,2011-03
NCT00692705,"Positron Emission Tomography (PET) Study With [11C]AZD2995 and [11C]AZD2184, Candidate PET Ligands for β Amyloid",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2008-01,2008-12
NCT06138795,"A Single and Multiple Ascending Dose Study to Investigate Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of AZD2389 in Healthy Participants",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2023-11-20,2025-08-24
NCT00651651,Efficacy of Symbicort Versus Its Monocomponents - SPRUCE 80/4.5,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2002-08,2003-09
NCT00659841,"To Assess the Safety and Efficacy of Ciclesonide, Applied as a Nasal Spray in the Treatment of Seasonal Allergic Rhinitis (BY9010/M1-401)",AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2003-12,2005-02
NCT05419401,"A Study to Investigate the Absolute Bioavailability, Absorption, Metabolism, Distribution and Excretion of [14C]AZD5363 (Capivasertib)",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2022-04-11,2022-07-12
NCT00343161,Symptom Adapted Therapy in GERD Patients,AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2006-08,2007-08
NCT00999466,The Tolerability and Effects of AZD8848 in Allergic Asthma Subjects Challenged With Inhaled Allergen,AstraZeneca,COMPLETED,PHASE2,INTERVENTIONAL,2009-10,2011-12
NCT03199053,Study to Evaluate Safety and Efficacy of Dapagliflozin and Saxagliptin in Patients With Type 2 Diabetes Mellitus (T2DM) Aged 10 to Below 18 Years Old,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2017-10-11,2024-01-03
NCT05180396,A Study on Disease Awareness and Treatment Compliance of Heart Failure Patients,AstraZeneca Turkey,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2021-03-12,2021-09-10
NCT00034905,A Comparison of Seroquel vs. Risperidone in Schizophrenia,AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2001-07,2002-09
NCT02300831,LUMINIST: LUng Cancer Molecular Insights Non Interventional Study,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2014-12-01,2016-06-30
NCT02224053,Drug-Drug Interaction Study With AZD9291 and Omeprazole in Healthy Volunteers,AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2014-09,2015-01
NCT00641680,Rhinocort Aqua Versus Placebo and Fluticasone Propionate,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2003-04,2003-07
NCT00544986,"A Prospective,Open-label Study of Anastrozole in Post-menopausal Women With Hormone Sensitive Advanced Breast Cancer",AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2005-06,2007-11
NCT00573469,Efficacy and Safety Study of D9421-C 9 mg and 15 mg Versus Placebo in Japanese Patients With Active Crohn's Disease,AstraZeneca,COMPLETED,PHASE2,INTERVENTIONAL,2006-10,2008-03
NCT00642161,New Version Pulmicort Turbuhaler USA Children,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2002-11,2004-09
NCT00684502,"Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD2066 in Young and Elderly Healthy Subjects",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2008-01,2008-11
NCT00291759,ABCSG 8 - Adjuvant Treatment in Patients With Hormone Receptor-positive Breast Cancer With Good to Moderate Differentiation.,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,1996-01,2009-06
NCT06989983,"A Study Designed to Assess the Mass Balance Recovery, Absorption, Metabolism, Excretion of [14C]AZD5462 and the Absolute Bioavailability of AZD5462",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2025-05-20,2025-06-25
